"tm","regex_mrp","bert990_mrp","regex_uw","bert990_uw","iclaimnsa","iclaimnsa_raw"
199721,NA,NA,NA,NA,1.60710729551195,1.60710729551195
199722,NA,NA,NA,NA,1.50674543423353,1.50674543423353
199723,NA,NA,NA,NA,1.88172721973965,1.88172721973965
199724,NA,NA,NA,NA,1.83709563823587,1.83709563823587
199725,NA,NA,NA,NA,1.76510588692442,1.76510588692442
199726,NA,NA,NA,NA,1.81112176996309,1.81112176996309
199727,NA,NA,NA,NA,2.26208228094035,2.26208228094035
199728,NA,NA,NA,NA,2.63866087040995,2.63866087040995
199729,NA,NA,NA,NA,2.05975568292209,2.05975568292209
199730,NA,NA,NA,NA,1.71091169613367,1.71091169613367
199731,NA,NA,NA,NA,1.66037861861278,1.66037861861278
199732,NA,NA,NA,NA,1.75516684476394,1.75516684476394
199733,NA,NA,NA,NA,1.65697250825724,1.65697250825724
199734,NA,NA,NA,NA,1.54966485331261,1.54966485331261
199735,NA,NA,NA,NA,1.51911914707597,1.51911914707597
199736,NA,NA,NA,NA,1.36577132310084,1.36577132310084
199737,NA,NA,NA,NA,1.53885758694385,1.53885758694385
199738,NA,NA,NA,NA,1.49395885952982,1.49395885952982
199739,NA,NA,NA,NA,1.44024431707791,1.44024431707791
199740,NA,NA,NA,NA,1.58286987565572,1.58286987565572
199741,NA,NA,NA,NA,1.73909558966388,1.73909558966388
199742,NA,NA,NA,NA,1.55208130950068,1.55208130950068
199743,NA,NA,NA,NA,1.65504784340392,1.65504784340392
199744,NA,NA,NA,NA,1.77947105109773,1.77947105109773
199745,NA,NA,NA,NA,1.96013454439479,1.96013454439479
199746,NA,NA,NA,NA,1.89126554303478,1.89126554303478
199747,NA,NA,NA,NA,2.07551122012823,2.07551122012823
199748,NA,NA,NA,NA,1.88087721002526,1.88087721002526
199749,NA,NA,NA,NA,2.44498615698465,2.44498615698465
199750,NA,NA,NA,NA,2.271389887313,2.271389887313
199751,NA,NA,NA,NA,2.23930809209248,2.23930809209248
199752,NA,NA,NA,NA,2.70391125898582,2.70391125898582
199801,NA,NA,NA,NA,2.91343258208665,2.91343258208665
199802,NA,NA,NA,NA,4.14085875267146,4.14085875267146
199803,NA,NA,NA,NA,3.11368879930056,3.11368879930056
199804,NA,NA,NA,NA,2.15594035360404,2.15594035360404
199805,NA,NA,NA,NA,2.17345055372061,2.17345055372061
199806,NA,NA,NA,NA,2.2349973285409,2.2349973285409
199807,NA,NA,NA,NA,1.99360064115018,1.99360064115018
199808,NA,NA,NA,NA,1.90260710122401,1.90260710122401
199809,NA,NA,NA,NA,1.90329318049349,1.90329318049349
199810,NA,NA,NA,NA,1.8550976296872,1.8550976296872
199811,NA,NA,NA,NA,1.81113998445697,1.81113998445697
199812,NA,NA,NA,NA,1.78315037886147,1.78315037886147
199813,NA,NA,NA,NA,1.65635321546532,1.65635321546532
199814,NA,NA,NA,NA,1.75153001748591,1.75153001748591
199815,NA,NA,NA,NA,1.78510540120459,1.78510540120459
199816,NA,NA,NA,NA,1.74894963085292,1.74894963085292
199817,NA,NA,NA,NA,1.68921216242471,1.68921216242471
199818,NA,NA,NA,NA,1.58520133087235,1.58520133087235
199819,NA,NA,NA,NA,1.63996017097338,1.63996017097338
199820,NA,NA,NA,NA,1.59138211579561,1.59138211579561
199821,NA,NA,NA,NA,1.57327690887896,1.57327690887896
199822,NA,NA,NA,NA,1.50907081795221,1.50907081795221
199823,NA,NA,NA,NA,1.75766830192345,1.75766830192345
199824,NA,NA,NA,NA,1.78013284437536,1.78013284437536
199825,NA,NA,NA,NA,1.95512555857781,1.95512555857781
199826,NA,NA,NA,NA,2.11799349135419,2.11799349135419
199827,NA,NA,NA,NA,2.30555420633379,2.30555420633379
199828,NA,NA,NA,NA,2.60453298037692,2.60453298037692
199829,NA,NA,NA,NA,2.21468209636682,2.21468209636682
199830,NA,NA,NA,NA,1.91119827083738,1.91119827083738
199831,NA,NA,NA,NA,1.68557533514669,1.68557533514669
199832,NA,NA,NA,NA,1.69771833106664,1.69771833106664
199833,NA,NA,NA,NA,1.49858534097533,1.49858534097533
199834,NA,NA,NA,NA,1.44501044297649,1.44501044297649
199835,NA,NA,NA,NA,1.41779191762192,1.41779191762192
199836,NA,NA,NA,NA,1.55392704488051,1.55392704488051
199837,NA,NA,NA,NA,1.32027151738877,1.32027151738877
199838,NA,NA,NA,NA,1.4426425587721,1.4426425587721
199839,NA,NA,NA,NA,1.33978531183214,1.33978531183214
199840,NA,NA,NA,NA,1.4953128035749,1.4953128035749
199841,NA,NA,NA,NA,1.82668301923451,1.82668301923451
199842,NA,NA,NA,NA,1.56141927336312,1.56141927336312
199843,NA,NA,NA,NA,1.67314697882262,1.67314697882262
199844,NA,NA,NA,NA,1.71174956285215,1.71174956285215
199845,NA,NA,NA,NA,2.01944700796581,2.01944700796581
199846,NA,NA,NA,NA,1.91558189236448,1.91558189236448
199847,NA,NA,NA,NA,2.05520813095007,2.05520813095007
199848,NA,NA,NA,NA,1.79134082960948,1.79134082960948
199849,NA,NA,NA,NA,2.55977389741597,2.55977389741597
199850,NA,NA,NA,NA,2.16067612201282,2.16067612201282
199851,NA,NA,NA,NA,2.09133961530989,2.09133961530989
199852,NA,NA,NA,NA,2.68481639790169,2.68481639790169
199901,NA,NA,NA,NA,3.09028924616281,3.09028924616281
199902,NA,NA,NA,NA,4.33386560132116,4.33386560132116
199903,NA,NA,NA,NA,3.12124781426073,3.12124781426073
199904,NA,NA,NA,NA,2.21449995142802,2.21449995142802
199905,NA,NA,NA,NA,2.12340319603653,2.12340319603653
199906,NA,NA,NA,NA,2.09434500680008,2.09434500680008
199907,NA,NA,NA,NA,1.94700189430736,1.94700189430736
199908,NA,NA,NA,NA,1.73723771128813,1.73723771128813
199909,NA,NA,NA,NA,1.80880852924033,1.80880852924033
199910,NA,NA,NA,NA,1.80520813095007,1.80520813095007
199911,NA,NA,NA,NA,1.75959903827472,1.75959903827472
199912,NA,NA,NA,NA,1.67241232756946,1.67241232756946
199913,NA,NA,NA,NA,1.58354988342724,1.58354988342724
199914,NA,NA,NA,NA,1.59993685642122,1.59993685642122
199915,NA,NA,NA,NA,1.98915023314552,1.98915023314552
199916,NA,NA,NA,NA,1.73655770351661,1.73655770351661
199917,NA,NA,NA,NA,1.60187366427045,1.60187366427045
